,date,release_time,ten_mins_before,ten_mins_after,fifteen_mins_after,twenty_mins_after,delta_rub_usd,delta_usd_rub
0,2013-10-14 11:05:00,32598.0,32604.0,32603.0,32603.0,32601.0,9.202171712528826e-05,-9.201324990798675e-05
1,2013-11-08 10:27:00,32683.0,32674.0,32683.0,32692.0,32683.0,-0.0002753725178226203,0.00027544836873354963
2,2013-12-13 13:27:00,33346.0,33356.0,33350.0,33352.0,33349.0,0.0002099013463672069,-0.00020985729703801415
3,2014-02-14 13:33:00,35346.0,35308.0,35340.0,35199.0,35234.0,0.0021002440824204036,-0.002095842302027869
4,2014-03-03 10:26:00,36489.0,36473.0,36483.0,36489.0,36529.0,-0.0015330285526567796,0.001535382337619609
5,2014-03-14 13:30:00,37544.0,37555.0,37554.0,37560.0,37555.0,0.0,0.0
6,2014-04-25 13:30:00,36411.0,36421.0,36356.0,36339.0,36360.0,0.0016776677667765904,-0.001674857911644381
7,2014-06-16 13:31:00,35378.0,35359.0,35379.0,35371.0,35371.0,-0.00033926097650620844,0.0003393761135778727
8,2014-07-25 13:30:00,35539.0,35539.0,35476.0,35499.0,35536.0,8.442143178751518e-05,-8.441430541095698e-05
9,2014-09-12 13:30:00,38380.0,38427.0,38395.0,38404.0,38396.0,0.0008073757683091706,-0.0008067244385458141
10,2014-10-31 13:30:00,42586.0,42575.0,42668.0,42663.0,42727.0,-0.003557469515762817,0.00357017028772754
11,2014-12-11 13:29:00,56778.0,56670.0,57164.0,57110.0,57088.0,-0.007322029147982096,0.00737603670372331
12,2014-12-16 00:44:00,66683.0,66683.0,66683.0,66683.0,66683.0,0.0,0.0
13,2015-01-30 13:29:00,71074.0,71139.0,71241.0,71567.0,71950.0,-0.011271716469770631,0.011400216477600192
14,2015-03-13 13:28:00,63671.0,63750.0,63464.0,63463.0,63512.0,0.0037473233404711767,-0.0037333333333333333
15,2015-04-30 13:28:00,52536.0,52674.0,51979.0,52008.0,52052.0,0.01194958887266583,-0.011808482363215248
