,date,release_time,ten_mins_before,ten_mins_after,fifteen_mins_after,twenty_mins_after
0,2021-12-17 13:30:00,83.28,83.415,83.5475,83.5525,83.45
1,2021-10-22 13:30:00,81.97,82.0525,81.6125,81.6225,81.5475
2,2021-09-10 13:30:00,86.04,86.05,86.1225,86.1,86.0725
3,2021-07-23 13:30:00,86.48,86.57,86.5775,86.57,86.5
4,2021-06-11 13:30:00,87.07,87.05,87.0,86.985,87.0
5,2021-04-23 13:30:00,90.34,90.4025,90.28,90.3175,90.27
6,2021-03-19 13:30:00,87.905,87.985,87.79,87.7275,87.7925
7,2021-02-12 13:30:00,89.8725,89.9475,89.87,89.9,89.9575
8,2020-12-18 13:30:00,90.065,90.04,90.1475,90.27,90.225
9,2020-10-23 13:30:00,90.4125,90.455,90.425,90.4425,90.4025
10,2020-09-18 13:30:00,88.8575,88.8375,88.855,88.85,88.88
11,2020-07-24 13:30:00,82.9725,82.89,82.9725,83.005,82.9825
12,2020-06-19 13:30:00,77.78,77.7425,77.84,77.8275,77.73
13,2020-04-24 13:30:00,80.34,80.32,80.205,80.3375,80.2025
14,2020-03-20 13:30:00,84.4825,84.0775,84.4075,85.0,84.6925
15,2020-02-07 13:30:00,69.8325,69.8875,69.8975,69.855,69.8775
16,2019-12-13 13:30:00,69.67,69.7,69.69,69.6225,69.5275
17,2019-10-25 13:30:00,71.0525,71.03,71.06,71.0275,71.0225
18,2019-09-06 13:30:00,72.7,72.7425,72.645,72.63,72.585
19,2019-07-26 13:30:00,70.255,70.26,70.235,70.195,70.2025
20,2019-06-14 13:30:00,72.5475,72.5675,72.4375,72.4075,72.425
21,2019-04-26 13:30:00,72.145,72.125,72.12,72.11,72.0875
22,2019-03-22 13:30:00,72.64,72.5275,72.5775,72.6125,72.6425
23,2019-02-08 13:30:00,74.7125,74.7725,74.8025,74.7975,74.7875
24,2018-12-14 13:30:00,75.005,75.0175,74.89,74.9225,74.9625
25,2018-10-26 13:30:00,74.6425,74.63,74.6475,74.64,74.6275
26,2018-09-14 13:30:00,79.92,80.0025,79.195,79.005,79.0875
27,2018-07-27 13:30:00,73.22,73.19,73.205,73.205,73.21
28,2018-06-15 13:30:00,72.805,72.7,72.6875,72.74,72.74
29,2018-04-27 13:30:00,75.67,75.625,75.6625,75.5,75.4825
30,2018-03-23 13:30:00,70.5175,70.455,70.46,70.535,70.485
31,2018-02-09 13:30:00,71.23,71.19,71.0025,71.0325,71.0475
32,2017-12-15 13:30:00,69.4475,69.3975,69.5775,69.5475,69.48
33,2017-10-27 13:30:00,67.5625,67.5925,67.55,67.6275,67.7525
34,2017-09-15 13:30:00,68.7125,68.635,68.7825,68.7525,68.8
35,2017-07-28 13:32:00,69.4975,69.6025,69.5075,69.575,69.595
36,2017-06-16 13:30:00,64.4025,64.4475,64.315,64.345,64.3475
37,2017-04-28 13:30:00,62.285,62.2825,62.27,62.1075,62.09
38,2017-03-24 13:30:00,61.96,61.9425,61.84,61.785,61.82
39,2017-02-03 13:30:00,63.9175,63.9375,63.6825,63.77,63.7875
40,2016-12-16 13:30:00,64.4125,64.4275,64.475,64.36,64.405
41,2016-10-28 13:30:00,68.5875,68.6,68.6025,68.645,68.6325
42,2016-09-16 13:29:00,73.0125,72.98,72.97,72.89,72.88
43,2016-07-29 13:30:00,74.3725,74.39,74.2675,74.275,74.415
44,2016-06-10 13:30:00,73.0,72.9,72.6925,72.66,72.69
45,2016-04-29 13:30:00,73.202,73.102,72.933,73.098,73.0
46,2016-03-18 13:30:00,77.131,77.29,76.552,76.576,76.454
47,2016-01-29 13:30:00,82.539,82.39,82.731,82.742,82.86
48,2015-12-11 13:30:00,76.433,76.376,76.425,76.54,76.54
49,2015-10-30 13:30:00,70.531,70.62,70.403,70.4,70.464
50,2015-07-31 13:30:00,66.215,66.15,66.309,66.444,66.548
51,2015-06-15 13:30:00,61.76,61.9,61.602,61.633,61.73
52,2015-04-30 13:28:00,57.679,57.75,57.15,57.21,57.276
53,2015-03-13 13:28:00,65.086,65.17,64.828,64.84,64.848
54,2015-01-30 13:29:00,78.954,79.0,79.2395,79.7215,80.1
55,2014-12-16 10:00:00,76.1,76.1,75.82,76.1,77.3625
56,2014-12-11 13:29:00,68.24,68.1,68.66,68.674,68.725
57,2014-10-31 13:30:00,52.924,52.87,52.95,52.9485,53.049
58,2014-09-12 13:30:00,48.624,48.665,48.655,48.64,48.641
59,2014-07-25 13:30:00,47.17,47.1645,47.1105,47.125,47.18
60,2014-06-16 13:31:00,46.8645,46.8365,46.8585,46.8425,46.84
61,2014-04-25 13:30:00,49.728,49.76,49.63,49.6145,49.6575
62,2014-03-14 13:30:00,50.8435,50.815,50.8465,50.855,50.8585
63,2014-03-03 10:26:00,50.1225,50.12,50.1475,50.114,50.188
64,2014-02-14 13:33:00,48.0895,48.0915,48.085,47.9,47.9755
65,2013-12-13 13:27:00,45.1395,45.1545,45.13,45.1325,45.14
