,date,release_time,ten_mins_before,ten_mins_after,fifteen_mins_after,twenty_mins_after
0,2021-12-17 13:30:00,73.53,73.62,73.72,73.78,73.655
1,2021-10-22 13:30:00,70.4125,70.49,70.135,70.135,70.07
2,2021-09-10 13:30:00,72.715,72.71,72.79,72.775,72.7675
3,2021-07-23 13:30:00,73.5375,73.59,73.5725,73.555,73.515
4,2021-06-11 13:30:00,71.6025,71.6125,71.57,71.595,71.5975
5,2021-04-23 13:30:00,74.975,74.9975,74.93,74.9375,74.9
6,2021-03-19 13:30:00,73.8675,73.9525,73.7975,73.75,73.7975
7,2021-02-12 13:30:00,74.22,74.28,74.2025,74.2475,74.34
8,2020-12-18 13:30:00,73.5025,73.5225,73.5575,73.635,73.61
9,2020-10-23 13:30:00,76.34,76.35,76.34,76.375,76.3325
10,2020-09-18 13:30:00,75.0475,75.0175,75.03,75.03,75.0575
11,2020-07-24 13:30:00,71.5425,71.4825,71.585,71.6375,71.66
12,2020-06-19 13:30:00,69.43,69.3825,69.5225,69.4675,69.375
13,2020-04-24 13:30:00,74.65,74.6475,74.41,74.43,74.3925
14,2020-03-20 13:30:00,78.545,78.3375,78.59,79.255,78.9
15,2020-02-07 13:30:00,63.795,63.8275,63.83,63.79,63.81
16,2019-12-13 13:30:00,62.335,62.335,62.3525,62.2825,62.2
17,2019-10-25 13:30:00,63.9225,63.92,63.94,63.905,63.92
18,2019-09-06 13:30:00,65.9375,65.98,65.88,65.8775,65.82
19,2019-07-26 13:30:00,63.1175,63.1175,63.105,63.0925,63.095
20,2019-06-14 13:30:00,64.3775,64.3975,64.3,64.2875,64.295
21,2019-04-26 13:30:00,64.8125,64.7725,64.7775,64.77,64.75
22,2019-03-22 13:30:00,64.2475,64.19,64.155,64.1625,64.2275
23,2019-02-08 13:30:00,65.9325,65.9725,65.9975,65.985,65.995
24,2018-12-14 13:30:00,66.4,66.4525,66.3225,66.33,66.3725
25,2018-10-26 13:30:00,65.74,65.7225,65.76,65.78,65.7625
26,2018-09-14 13:30:00,68.35,68.4125,67.695,67.545,67.5675
27,2018-07-27 13:30:00,62.975,62.95,62.9575,62.9425,62.9475
28,2018-06-15 13:30:00,62.7875,62.7325,62.745,62.74,62.7275
29,2018-04-27 13:30:00,62.635,62.6175,62.5775,62.44,62.4475
30,2018-03-23 13:30:00,57.2,57.1775,57.1475,57.2,57.1775
31,2018-02-09 13:30:00,58.0925,58.06,57.9025,57.945,57.975
32,2017-12-15 13:30:00,58.855,58.845,58.97,58.9575,58.9025
33,2017-10-27 13:30:00,58.1225,58.1125,58.1125,58.195,58.29
34,2017-09-15 13:30:00,57.505,57.47,57.585,57.555,57.59
35,2017-07-28 13:32:00,59.3625,59.44,59.38,59.43,59.45
36,2017-06-16 13:30:00,57.6475,57.6875,57.53,57.565,57.57
37,2017-04-28 13:30:00,56.9725,56.9525,56.9375,56.78,56.74
38,2017-03-24 13:30:00,57.3225,57.33,57.2125,57.17,57.2
39,2017-02-03 13:30:00,59.49,59.5125,59.31,59.3525,59.3875
40,2016-12-16 13:30:00,61.58,61.5925,61.68,61.595,61.64
41,2016-10-28 13:30:00,62.86,62.87,62.8625,62.8975,62.895
42,2016-09-16 13:29:00,65.02,65.005,65.0075,64.945,64.93
43,2016-07-29 13:30:00,66.9825,66.9675,66.8675,66.8675,66.985
44,2016-06-10 13:30:00,64.6125,64.59,64.345,64.31,64.3175
45,2016-04-29 13:30:00,64.273,64.163,64.009,64.164,64.089
46,2016-03-18 13:30:00,68.404,68.576,67.965,67.925,67.821
47,2016-01-29 13:30:00,75.62,75.51,75.779,75.791,75.879
48,2015-12-11 13:30:00,69.784,69.75,69.721,69.823,69.851
49,2015-10-30 13:30:00,64.1,64.187,63.95,63.95,63.983
50,2015-07-31 13:30:00,60.266,60.227,60.405,60.53,60.66
51,2015-06-15 13:30:00,55.034,55.141,54.92,54.946,55.007
52,2015-04-30 13:28:00,51.61,51.746,51.101,51.145,51.188
53,2015-03-13 13:28:00,61.403,61.471,61.224,61.225,61.249
54,2015-01-30 13:29:00,69.7025,69.751,69.948,70.32,70.7405
55,2014-12-16 10:00:00,60.0,60.0,60.6995,60.0,61.95
56,2014-12-11 13:29:00,54.8715,54.7495,55.221,55.172,55.191
57,2014-10-31 13:30:00,42.0635,42.054,42.13,42.1285,42.17
58,2014-09-12 13:30:00,37.622,37.666,37.6405,37.6575,37.6455
59,2014-07-25 13:30:00,35.0765,35.081,35.026,35.0405,35.079
60,2014-06-16 13:31:00,34.6275,34.609,34.63,34.619,34.619
61,2014-04-25 13:30:00,35.924,35.93,35.8525,35.8395,35.867
62,2014-03-14 13:30:00,36.614,36.6215,36.62,36.625,36.619
63,2014-03-03 10:26:00,36.34,36.347,36.3595,36.3445,36.38
64,2014-02-14 13:33:00,35.149,35.11,35.14,34.9935,35.035
65,2013-12-13 13:27:00,32.8095,32.8175,32.812,32.8145,32.813
