<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Eu;1;26/10/18;10:01:00;75436.0000000;75574.0000000;75430.0000000;75549.0000000;2271
SPFB.Eu;1;26/10/18;10:02:00;75554.0000000;75592.0000000;75478.0000000;75495.0000000;399
SPFB.Eu;1;26/10/18;10:03:00;75488.0000000;75488.0000000;75440.0000000;75452.0000000;476
SPFB.Eu;1;26/10/18;10:04:00;75448.0000000;75466.0000000;75435.0000000;75435.0000000;673
SPFB.Eu;1;26/10/18;10:05:00;75430.0000000;75460.0000000;75414.0000000;75460.0000000;224
SPFB.Eu;1;26/10/18;10:06:00;75465.0000000;75477.0000000;75456.0000000;75461.0000000;1061
SPFB.Eu;1;26/10/18;10:07:00;75459.0000000;75468.0000000;75441.0000000;75453.0000000;76
SPFB.Eu;1;26/10/18;10:08:00;75442.0000000;75467.0000000;75442.0000000;75459.0000000;183
SPFB.Eu;1;26/10/18;10:09:00;75467.0000000;75470.0000000;75419.0000000;75470.0000000;359
SPFB.Eu;1;26/10/18;10:10:00;75473.0000000;75473.0000000;75459.0000000;75460.0000000;120
SPFB.Eu;1;26/10/18;10:11:00;75470.0000000;75507.0000000;75465.0000000;75507.0000000;117
SPFB.Eu;1;26/10/18;10:12:00;75495.0000000;75518.0000000;75495.0000000;75518.0000000;47
SPFB.Eu;1;26/10/18;10:13:00;75519.0000000;75522.0000000;75484.0000000;75492.0000000;170
SPFB.Eu;1;26/10/18;10:14:00;75480.0000000;75486.0000000;75341.0000000;75418.0000000;493
SPFB.Eu;1;26/10/18;10:15:00;75428.0000000;75442.0000000;75420.0000000;75442.0000000;91
SPFB.Eu;1;26/10/18;10:16:00;75451.0000000;75483.0000000;75451.0000000;75467.0000000;342
SPFB.Eu;1;26/10/18;10:17:00;75459.0000000;75467.0000000;75437.0000000;75459.0000000;108
SPFB.Eu;1;26/10/18;10:18:00;75466.0000000;75474.0000000;75440.0000000;75454.0000000;74
SPFB.Eu;1;26/10/18;10:19:00;75452.0000000;75467.0000000;75450.0000000;75453.0000000;15
SPFB.Eu;1;26/10/18;10:20:00;75447.0000000;75456.0000000;75439.0000000;75455.0000000;67
SPFB.Eu;1;26/10/18;10:21:00;75456.0000000;75462.0000000;75446.0000000;75452.0000000;62
SPFB.Eu;1;26/10/18;10:22:00;75456.0000000;75461.0000000;75449.0000000;75455.0000000;29
SPFB.Eu;1;26/10/18;10:23:00;75465.0000000;75488.0000000;75465.0000000;75472.0000000;137
SPFB.Eu;1;26/10/18;10:24:00;75466.0000000;75495.0000000;75466.0000000;75487.0000000;89
SPFB.Eu;1;26/10/18;10:25:00;75493.0000000;75496.0000000;75475.0000000;75479.0000000;80
SPFB.Eu;1;26/10/18;10:26:00;75480.0000000;75514.0000000;75479.0000000;75506.0000000;315
SPFB.Eu;1;26/10/18;10:27:00;75509.0000000;75516.0000000;75477.0000000;75477.0000000;185
