<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.OF10;D;02/09/13;00:00:00;9560.0000000;9570.0000000;9450.0000000;9450.0000000;9748
SPFB.OF10;D;03/09/13;00:00:00;9500.0000000;9555.0000000;9500.0000000;9525.0000000;31018
SPFB.OF10;D;04/09/13;00:00:00;9525.0000000;9575.0000000;9510.0000000;9545.0000000;14974
SPFB.OF10;D;09/09/13;00:00:00;10830.0000000;10850.0000000;10825.0000000;10850.0000000;12526
SPFB.OF10;D;10/09/13;00:00:00;10850.0000000;10855.0000000;10840.0000000;10855.0000000;20040
SPFB.OF10;D;11/09/13;00:00:00;10860.0000000;11005.0000000;10860.0000000;11000.0000000;22805
SPFB.OF10;D;12/09/13;00:00:00;11000.0000000;11050.0000000;10990.0000000;11015.0000000;30424
SPFB.OF10;D;13/09/13;00:00:00;11009.0000000;11045.0000000;11009.0000000;11045.0000000;2525
SPFB.OF10;D;16/09/13;00:00:00;11050.0000000;11100.0000000;11050.0000000;11065.0000000;13540
SPFB.OF10;D;17/09/13;00:00:00;11035.0000000;11035.0000000;11015.0000000;11015.0000000;5020
SPFB.OF10;D;18/09/13;00:00:00;11005.0000000;11100.0000000;11005.0000000;11100.0000000;10135
SPFB.OF10;D;19/09/13;00:00:00;11100.0000000;11165.0000000;11100.0000000;11135.0000000;37950
SPFB.OF10;D;20/09/13;00:00:00;11150.0000000;11150.0000000;11130.0000000;11135.0000000;20000
SPFB.OF10;D;23/09/13;00:00:00;11168.0000000;11168.0000000;11085.0000000;11085.0000000;17500
SPFB.OF10;D;24/09/13;00:00:00;11075.0000000;11105.0000000;11062.0000000;11065.0000000;21580
SPFB.OF10;D;25/09/13;00:00:00;11035.0000000;11145.0000000;11035.0000000;11070.0000000;5006
SPFB.OF10;D;26/09/13;00:00:00;11050.0000000;11060.0000000;11040.0000000;11060.0000000;5007
SPFB.OF10;D;27/09/13;00:00:00;11050.0000000;11050.0000000;11000.0000000;11025.0000000;5019
SPFB.OF10;D;30/09/13;00:00:00;11005.0000000;11005.0000000;10990.0000000;10994.0000000;6431
SPFB.OF10;D;01/10/13;00:00:00;10994.0000000;11010.0000000;10994.0000000;10998.0000000;6177
SPFB.OF10;D;02/10/13;00:00:00;10995.0000000;11027.0000000;10995.0000000;11027.0000000;23790
SPFB.OF10;D;03/10/13;00:00:00;11033.0000000;11041.0000000;11033.0000000;11037.0000000;363
SPFB.OF10;D;04/10/13;00:00:00;11032.0000000;11033.0000000;11032.0000000;11032.0000000;290
SPFB.OF10;D;07/10/13;00:00:00;11032.0000000;11032.0000000;11028.0000000;11029.0000000;251
SPFB.OF10;D;08/10/13;00:00:00;11030.0000000;11030.0000000;11010.0000000;11012.0000000;783
SPFB.OF10;D;09/10/13;00:00:00;11013.0000000;11023.0000000;11009.0000000;11009.0000000;8394
SPFB.OF10;D;10/10/13;00:00:00;11007.0000000;11010.0000000;10998.0000000;11010.0000000;593
SPFB.OF10;D;11/10/13;00:00:00;11009.0000000;11020.0000000;11007.0000000;11020.0000000;25001
SPFB.OF10;D;14/10/13;00:00:00;11022.0000000;11022.0000000;11012.0000000;11015.0000000;1981
SPFB.OF10;D;15/10/13;00:00:00;11025.0000000;11025.0000000;10984.0000000;10984.0000000;35965
SPFB.OF10;D;16/10/13;00:00:00;10980.0000000;11019.0000000;10980.0000000;11019.0000000;11726
SPFB.OF10;D;17/10/13;00:00:00;11015.0000000;11031.0000000;11015.0000000;11031.0000000;1126
SPFB.OF10;D;18/10/13;00:00:00;11037.0000000;11066.0000000;11037.0000000;11054.0000000;17865
SPFB.OF10;D;21/10/13;00:00:00;11057.0000000;11057.0000000;11047.0000000;11047.0000000;543
SPFB.OF10;D;22/10/13;00:00:00;11047.0000000;11087.0000000;11047.0000000;11087.0000000;13533
SPFB.OF10;D;23/10/13;00:00:00;11090.0000000;11117.0000000;11090.0000000;11099.0000000;30502
SPFB.OF10;D;24/10/13;00:00:00;11095.0000000;11095.0000000;11065.0000000;11065.0000000;6467
SPFB.OF10;D;25/10/13;00:00:00;11061.0000000;11062.0000000;11045.0000000;11047.0000000;8376
SPFB.OF10;D;28/10/13;00:00:00;11050.0000000;11059.0000000;11050.0000000;11059.0000000;652
SPFB.OF10;D;29/10/13;00:00:00;11070.0000000;11080.0000000;11062.0000000;11066.0000000;15980
SPFB.OF10;D;30/10/13;00:00:00;11047.0000000;11092.0000000;11047.0000000;11088.0000000;24120
SPFB.OF10;D;31/10/13;00:00:00;11080.0000000;11097.0000000;11070.0000000;11070.0000000;17104
SPFB.OF10;D;01/11/13;00:00:00;11170.0000000;11170.0000000;11058.0000000;11059.0000000;3834
SPFB.OF10;D;05/11/13;00:00:00;11054.0000000;11059.0000000;11054.0000000;11054.0000000;410
SPFB.OF10;D;06/11/13;00:00:00;11049.0000000;11058.0000000;11036.0000000;11049.0000000;1493
SPFB.OF10;D;07/11/13;00:00:00;11044.0000000;11061.0000000;11044.0000000;11050.0000000;11852
SPFB.OF10;D;08/11/13;00:00:00;11048.0000000;11048.0000000;10996.0000000;10996.0000000;17929
SPFB.OF10;D;11/11/13;00:00:00;10992.0000000;10993.0000000;10974.0000000;10979.0000000;5636
SPFB.OF10;D;12/11/13;00:00:00;10960.0000000;10977.0000000;10922.0000000;10922.0000000;27426
SPFB.OF10;D;13/11/13;00:00:00;10927.0000000;10935.0000000;10912.0000000;10918.0000000;16810
SPFB.OF10;D;14/11/13;00:00:00;10930.0000000;10935.0000000;10918.0000000;10923.0000000;23000
SPFB.OF10;D;15/11/13;00:00:00;10940.0000000;10940.0000000;10908.0000000;10927.0000000;13044
SPFB.OF10;D;18/11/13;00:00:00;10931.0000000;10936.0000000;10923.0000000;10936.0000000;747
SPFB.OF10;D;19/11/13;00:00:00;10940.0000000;10940.0000000;10920.0000000;10921.0000000;5654
SPFB.OF10;D;20/11/13;00:00:00;10920.0000000;10925.0000000;10906.0000000;10917.0000000;9502
SPFB.OF10;D;21/11/13;00:00:00;10895.0000000;10895.0000000;10876.0000000;10877.0000000;3763
SPFB.OF10;D;22/11/13;00:00:00;10880.0000000;10899.0000000;10880.0000000;10894.0000000;684
SPFB.OF10;D;25/11/13;00:00:00;10900.0000000;10901.0000000;10875.0000000;10876.0000000;11511
SPFB.OF10;D;26/11/13;00:00:00;10871.0000000;10871.0000000;10847.0000000;10849.0000000;2270
SPFB.OF10;D;27/11/13;00:00:00;10925.0000000;10950.0000000;10789.0000000;10789.0000000;17328
SPFB.OF10;D;28/11/13;00:00:00;10795.0000000;10795.0000000;10745.0000000;10746.0000000;8447
SPFB.OF10;D;29/11/13;00:00:00;10736.0000000;10775.0000000;10736.0000000;10765.0000000;14559
SPFB.OF10;D;02/12/13;00:00:00;10775.0000000;10775.0000000;10725.0000000;10755.0000000;35784
