<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.OFZ4;D;02/09/13;00:00:00;9796.0000000;9796.0000000;9781.0000000;9781.0000000;2535
SPFB.OFZ4;D;03/09/13;00:00:00;9796.0000000;9799.0000000;9786.0000000;9799.0000000;1066
SPFB.OFZ4;D;04/09/13;00:00:00;9700.0000000;9787.0000000;9700.0000000;9767.0000000;5678
SPFB.OFZ4;D;09/09/13;00:00:00;9835.0000000;9845.0000000;9835.0000000;9845.0000000;5001
SPFB.OFZ4;D;10/09/13;00:00:00;9840.0000000;9845.0000000;9840.0000000;9845.0000000;5020
SPFB.OFZ4;D;11/09/13;00:00:00;9850.0000000;9900.0000000;9850.0000000;9900.0000000;22512
SPFB.OFZ4;D;12/09/13;00:00:00;9900.0000000;9905.0000000;9900.0000000;9905.0000000;2500
SPFB.OFZ4;D;13/09/13;00:00:00;9910.0000000;9910.0000000;9900.0000000;9900.0000000;20005
SPFB.OFZ4;D;16/09/13;00:00:00;9925.0000000;9925.0000000;9925.0000000;9925.0000000;10
SPFB.OFZ4;D;18/09/13;00:00:00;9920.0000000;9935.0000000;9920.0000000;9935.0000000;25
SPFB.OFZ4;D;19/09/13;00:00:00;9950.0000000;9960.0000000;9950.0000000;9955.0000000;5030
SPFB.OFZ4;D;20/09/13;00:00:00;9955.0000000;9955.0000000;9955.0000000;9955.0000000;2
SPFB.OFZ4;D;23/09/13;00:00:00;9943.0000000;9943.0000000;9928.0000000;9930.0000000;20000
SPFB.OFZ4;D;24/09/13;00:00:00;9935.0000000;9935.0000000;9935.0000000;9935.0000000;2500
SPFB.OFZ4;D;25/09/13;00:00:00;9940.0000000;9940.0000000;9940.0000000;9940.0000000;50
SPFB.OFZ4;D;26/09/13;00:00:00;9928.0000000;9928.0000000;9928.0000000;9928.0000000;2500
SPFB.OFZ4;D;27/09/13;00:00:00;9913.0000000;9913.0000000;9913.0000000;9913.0000000;2500
SPFB.OFZ4;D;30/09/13;00:00:00;9898.0000000;9898.0000000;9880.0000000;9880.0000000;17500
SPFB.OFZ4;D;01/10/13;00:00:00;9885.0000000;9885.0000000;9870.0000000;9870.0000000;10500
SPFB.OFZ4;D;02/10/13;00:00:00;9870.0000000;9882.0000000;9870.0000000;9882.0000000;11877
SPFB.OFZ4;D;03/10/13;00:00:00;9890.0000000;9890.0000000;9885.0000000;9885.0000000;10251
SPFB.OFZ4;D;04/10/13;00:00:00;9886.0000000;9886.0000000;9886.0000000;9886.0000000;225
SPFB.OFZ4;D;08/10/13;00:00:00;9884.0000000;9884.0000000;9884.0000000;9884.0000000;100
SPFB.OFZ4;D;09/10/13;00:00:00;9886.0000000;9892.0000000;9886.0000000;9890.0000000;6225
SPFB.OFZ4;D;10/10/13;00:00:00;9893.0000000;9893.0000000;9893.0000000;9893.0000000;2750
SPFB.OFZ4;D;11/10/13;00:00:00;9894.0000000;9903.0000000;9894.0000000;9903.0000000;1625
SPFB.OFZ4;D;14/10/13;00:00:00;9904.0000000;9911.0000000;9903.0000000;9903.0000000;1500
SPFB.OFZ4;D;15/10/13;00:00:00;9902.0000000;9902.0000000;9890.0000000;9890.0000000;7625
SPFB.OFZ4;D;16/10/13;00:00:00;9891.0000000;9898.0000000;9891.0000000;9897.0000000;3625
SPFB.OFZ4;D;17/10/13;00:00:00;9898.0000000;9910.0000000;9898.0000000;9910.0000000;3500
SPFB.OFZ4;D;18/10/13;00:00:00;9910.0000000;9935.0000000;9910.0000000;9935.0000000;10720
SPFB.OFZ4;D;22/10/13;00:00:00;9926.0000000;9940.0000000;9925.0000000;9940.0000000;4875
SPFB.OFZ4;D;23/10/13;00:00:00;9941.0000000;9943.0000000;9939.0000000;9940.0000000;1252
