<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SPFB.Si;1;29/04/16;10:01:00;65541.0000000;65541.0000000;65091.0000000;65201.0000000;20110
SPFB.Si;1;29/04/16;10:02:00;65201.0000000;65233.0000000;65154.0000000;65198.0000000;15060
SPFB.Si;1;29/04/16;10:03:00;65201.0000000;65221.0000000;65160.0000000;65174.0000000;6029
SPFB.Si;1;29/04/16;10:04:00;65175.0000000;65207.0000000;65162.0000000;65189.0000000;8503
SPFB.Si;1;29/04/16;10:05:00;65189.0000000;65219.0000000;65135.0000000;65151.0000000;9620
SPFB.Si;1;29/04/16;10:06:00;65151.0000000;65154.0000000;65101.0000000;65107.0000000;9066
SPFB.Si;1;29/04/16;10:07:00;65107.0000000;65109.0000000;65044.0000000;65066.0000000;15059
SPFB.Si;1;29/04/16;10:08:00;65061.0000000;65083.0000000;65037.0000000;65068.0000000;8280
SPFB.Si;1;29/04/16;10:09:00;65071.0000000;65124.0000000;65069.0000000;65116.0000000;8360
SPFB.Si;1;29/04/16;10:10:00;65118.0000000;65166.0000000;65118.0000000;65148.0000000;11024
SPFB.Si;1;29/04/16;10:11:00;65146.0000000;65162.0000000;65134.0000000;65147.0000000;5590
SPFB.Si;1;29/04/16;10:12:00;65145.0000000;65145.0000000;65086.0000000;65105.0000000;9416
SPFB.Si;1;29/04/16;10:13:00;65109.0000000;65127.0000000;65095.0000000;65109.0000000;4658
SPFB.Si;1;29/04/16;10:14:00;65106.0000000;65127.0000000;65102.0000000;65111.0000000;3664
SPFB.Si;1;29/04/16;10:15:00;65111.0000000;65127.0000000;65090.0000000;65095.0000000;6103
SPFB.Si;1;29/04/16;10:16:00;65096.0000000;65143.0000000;65095.0000000;65121.0000000;10564
SPFB.Si;1;29/04/16;10:17:00;65118.0000000;65133.0000000;65101.0000000;65106.0000000;4899
SPFB.Si;1;29/04/16;10:18:00;65106.0000000;65123.0000000;65096.0000000;65101.0000000;4750
SPFB.Si;1;29/04/16;10:19:00;65100.0000000;65116.0000000;65088.0000000;65091.0000000;5190
SPFB.Si;1;29/04/16;10:20:00;65090.0000000;65102.0000000;65080.0000000;65085.0000000;4604
SPFB.Si;1;29/04/16;10:21:00;65084.0000000;65092.0000000;65070.0000000;65087.0000000;3678
SPFB.Si;1;29/04/16;10:22:00;65086.0000000;65086.0000000;65069.0000000;65070.0000000;1989
SPFB.Si;1;29/04/16;10:23:00;65070.0000000;65086.0000000;65069.0000000;65077.0000000;4984
SPFB.Si;1;29/04/16;10:24:00;65076.0000000;65088.0000000;65066.0000000;65074.0000000;4003
SPFB.Si;1;29/04/16;10:25:00;65074.0000000;65080.0000000;65063.0000000;65070.0000000;5250
SPFB.Si;1;29/04/16;10:26:00;65070.0000000;65082.0000000;65062.0000000;65079.0000000;3649
SPFB.Si;1;29/04/16;10:27:00;65080.0000000;65093.0000000;65071.0000000;65086.0000000;2481
SPFB.Si;1;29/04/16;10:28:00;65084.0000000;65111.0000000;65083.0000000;65108.0000000;1889
SPFB.Si;1;29/04/16;10:29:00;65111.0000000;65122.0000000;65098.0000000;65110.0000000;2750
SPFB.Si;1;29/04/16;10:30:00;65112.0000000;65118.0000000;65105.0000000;65108.0000000;1160
SPFB.Si;1;29/04/16;10:31:00;65108.0000000;65133.0000000;65102.0000000;65114.0000000;4910
SPFB.Si;1;29/04/16;10:32:00;65114.0000000;65125.0000000;65112.0000000;65117.0000000;1122
SPFB.Si;1;29/04/16;10:33:00;65119.0000000;65130.0000000;65116.0000000;65127.0000000;3177
SPFB.Si;1;29/04/16;10:34:00;65128.0000000;65131.0000000;65104.0000000;65116.0000000;3455
SPFB.Si;1;29/04/16;10:35:00;65117.0000000;65120.0000000;65094.0000000;65094.0000000;3133
SPFB.Si;1;29/04/16;10:36:00;65095.0000000;65107.0000000;65072.0000000;65072.0000000;2968
SPFB.Si;1;29/04/16;10:37:00;65071.0000000;65083.0000000;65050.0000000;65074.0000000;6681
SPFB.Si;1;29/04/16;10:38:00;65073.0000000;65097.0000000;65069.0000000;65093.0000000;2679
SPFB.Si;1;29/04/16;10:39:00;65090.0000000;65109.0000000;65087.0000000;65106.0000000;1380
SPFB.Si;1;29/04/16;10:40:00;65104.0000000;65110.0000000;65087.0000000;65102.0000000;4193
SPFB.Si;1;29/04/16;10:41:00;65102.0000000;65121.0000000;65096.0000000;65121.0000000;4305
SPFB.Si;1;29/04/16;10:42:00;65121.0000000;65127.0000000;65098.0000000;65114.0000000;11885
SPFB.Si;1;29/04/16;10:43:00;65113.0000000;65125.0000000;65113.0000000;65121.0000000;2083
SPFB.Si;1;29/04/16;10:44:00;65121.0000000;65148.0000000;65113.0000000;65123.0000000;17083
SPFB.Si;1;29/04/16;10:45:00;65124.0000000;65139.0000000;65029.0000000;65031.0000000;16792
SPFB.Si;1;29/04/16;10:46:00;65030.0000000;65051.0000000;64960.0000000;65000.0000000;28282
SPFB.Si;1;29/04/16;10:47:00;65000.0000000;65020.0000000;64996.0000000;65001.0000000;4421
SPFB.Si;1;29/04/16;10:48:00;64999.0000000;65022.0000000;64998.0000000;65020.0000000;5093
SPFB.Si;1;29/04/16;10:49:00;65022.0000000;65028.0000000;64985.0000000;64988.0000000;5524
SPFB.Si;1;29/04/16;10:50:00;64989.0000000;65010.0000000;64984.0000000;65007.0000000;3203
SPFB.Si;1;29/04/16;10:51:00;65004.0000000;65006.0000000;64990.0000000;64998.0000000;4526
SPFB.Si;1;29/04/16;10:52:00;64998.0000000;65006.0000000;64981.0000000;64989.0000000;5350
SPFB.Si;1;29/04/16;10:53:00;64991.0000000;64994.0000000;64921.0000000;64936.0000000;18750
SPFB.Si;1;29/04/16;10:54:00;64936.0000000;64956.0000000;64913.0000000;64944.0000000;8517
SPFB.Si;1;29/04/16;10:55:00;64944.0000000;64986.0000000;64944.0000000;64980.0000000;4723
SPFB.Si;1;29/04/16;10:56:00;64980.0000000;64988.0000000;64955.0000000;64969.0000000;8404
SPFB.Si;1;29/04/16;10:57:00;64967.0000000;64985.0000000;64962.0000000;64973.0000000;2490
SPFB.Si;1;29/04/16;10:58:00;64973.0000000;64987.0000000;64969.0000000;64976.0000000;2036
SPFB.Si;1;29/04/16;10:59:00;64974.0000000;64976.0000000;64950.0000000;64968.0000000;5457
SPFB.Si;1;29/04/16;11:00:00;64969.0000000;64974.0000000;64951.0000000;64957.0000000;3303
SPFB.Si;1;29/04/16;11:01:00;64959.0000000;65042.0000000;64953.0000000;65042.0000000;9798
SPFB.Si;1;29/04/16;11:02:00;65041.0000000;65042.0000000;65023.0000000;65030.0000000;3239
SPFB.Si;1;29/04/16;11:03:00;65026.0000000;65045.0000000;65026.0000000;65044.0000000;4005
SPFB.Si;1;29/04/16;11:04:00;65045.0000000;65075.0000000;65042.0000000;65074.0000000;4567
SPFB.Si;1;29/04/16;11:05:00;65072.0000000;65080.0000000;65052.0000000;65055.0000000;3991
SPFB.Si;1;29/04/16;11:06:00;65052.0000000;65057.0000000;65010.0000000;65021.0000000;5490
SPFB.Si;1;29/04/16;11:07:00;65021.0000000;65022.0000000;64992.0000000;65006.0000000;3196
SPFB.Si;1;29/04/16;11:08:00;65006.0000000;65050.0000000;65002.0000000;65050.0000000;3386
SPFB.Si;1;29/04/16;11:09:00;65049.0000000;65081.0000000;65033.0000000;65070.0000000;3894
SPFB.Si;1;29/04/16;11:10:00;65068.0000000;65070.0000000;65044.0000000;65049.0000000;2027
SPFB.Si;1;29/04/16;11:11:00;65049.0000000;65052.0000000;64997.0000000;65027.0000000;3382
SPFB.Si;1;29/04/16;11:12:00;65023.0000000;65025.0000000;65003.0000000;65010.0000000;1576
SPFB.Si;1;29/04/16;11:13:00;65011.0000000;65016.0000000;64994.0000000;65002.0000000;1298
SPFB.Si;1;29/04/16;11:14:00;65005.0000000;65041.0000000;64996.0000000;64997.0000000;6324
SPFB.Si;1;29/04/16;11:15:00;64996.0000000;65007.0000000;64969.0000000;64997.0000000;3373
SPFB.Si;1;29/04/16;11:16:00;64998.0000000;65012.0000000;64968.0000000;64986.0000000;4338
SPFB.Si;1;29/04/16;11:17:00;64986.0000000;65044.0000000;64980.0000000;65037.0000000;5934
SPFB.Si;1;29/04/16;11:18:00;65036.0000000;65060.0000000;65027.0000000;65057.0000000;2893
SPFB.Si;1;29/04/16;11:19:00;65052.0000000;65077.0000000;65046.0000000;65071.0000000;1405
SPFB.Si;1;29/04/16;11:20:00;65074.0000000;65112.0000000;65071.0000000;65106.0000000;5123
SPFB.Si;1;29/04/16;11:21:00;65106.0000000;65111.0000000;65085.0000000;65096.0000000;4487
SPFB.Si;1;29/04/16;11:22:00;65095.0000000;65125.0000000;65087.0000000;65114.0000000;3780
SPFB.Si;1;29/04/16;11:23:00;65116.0000000;65121.0000000;65081.0000000;65083.0000000;2275
SPFB.Si;1;29/04/16;11:24:00;65085.0000000;65085.0000000;65050.0000000;65056.0000000;3408
SPFB.Si;1;29/04/16;11:25:00;65056.0000000;65108.0000000;65056.0000000;65093.0000000;3597
SPFB.Si;1;29/04/16;11:26:00;65094.0000000;65101.0000000;65066.0000000;65093.0000000;2283
SPFB.Si;1;29/04/16;11:27:00;65094.0000000;65099.0000000;65077.0000000;65091.0000000;2291
SPFB.Si;1;29/04/16;11:28:00;65085.0000000;65096.0000000;65061.0000000;65092.0000000;2168
SPFB.Si;1;29/04/16;11:29:00;65092.0000000;65096.0000000;65066.0000000;65070.0000000;1563
SPFB.Si;1;29/04/16;11:30:00;65068.0000000;65071.0000000;65017.0000000;65028.0000000;6625
SPFB.Si;1;29/04/16;11:31:00;65028.0000000;65088.0000000;65020.0000000;65076.0000000;7660
SPFB.Si;1;29/04/16;11:32:00;65076.0000000;65082.0000000;65030.0000000;65046.0000000;9541
SPFB.Si;1;29/04/16;11:33:00;65046.0000000;65079.0000000;65045.0000000;65070.0000000;5332
SPFB.Si;1;29/04/16;11:34:00;65073.0000000;65080.0000000;65066.0000000;65073.0000000;742
SPFB.Si;1;29/04/16;11:35:00;65074.0000000;65087.0000000;65058.0000000;65081.0000000;1631
SPFB.Si;1;29/04/16;11:36:00;65081.0000000;65088.0000000;65030.0000000;65039.0000000;11670
SPFB.Si;1;29/04/16;11:37:00;65036.0000000;65046.0000000;65015.0000000;65046.0000000;8098
SPFB.Si;1;29/04/16;11:38:00;65046.0000000;65049.0000000;65017.0000000;65036.0000000;3650
SPFB.Si;1;29/04/16;11:39:00;65037.0000000;65063.0000000;65035.0000000;65061.0000000;2631
SPFB.Si;1;29/04/16;11:40:00;65061.0000000;65080.0000000;65056.0000000;65073.0000000;2894
SPFB.Si;1;29/04/16;11:41:00;65073.0000000;65076.0000000;65055.0000000;65062.0000000;5474
