year,1,2,3,4,5,6,7,8,9,10,11,12
2010,101.6,100.9,100.6,100.3,100.5,100.4,100.4,100.6,100.8,100.5,100.8,101.1
2011,102.4,100.8,100.6,100.4,100.5,100.2,100.0,99.8,100.0,100.5,100.4,100.4
2012,100.5,100.4,100.6,100.3,100.5,100.9,101.2,100.1,100.6,100.5,100.3,100.5
2013,101.0,100.6,100.3,100.5,100.7,100.4,100.8,100.1,100.2,100.6,100.6,100.5
2014,100.6,100.7,101.0,100.9,100.9,100.6,100.5,100.2,100.7,100.8,101.3,102.6
2015,103.9,102.2,101.2,100.5,100.4,100.2,100.8,100.4,100.6,100.7,100.8,100.8
2016,101.0,100.6,100.5,100.4,100.4,100.4,100.5,100.0,100.2,100.4,100.4,100.4
2017,100.6,100.2,100.1,100.3,100.4,100.6,100.1,99.5,99.9,100.2,100.2,100.4
2018,100.3,100.2,100.3,100.4,100.4,100.5,100.3,100.0,100.2,100.4,100.5,100.8
2019,101.0,100.4,100.3,100.3,100.3,100.0,100.2,99.8,99.8,100.1,100.3,100.4
2020,100.4,100.3,100.6,100.8,100.3,100.2,100.4,100.0,99.9,100.4,100.7,100.8
2021,100.7,100.8,100.7,100.6,100.7,100.7,100.3,100.2,100.6,101.1,101.0,100.8
