????,????????
6/8/2022,147.17
6/7/2022,163.13
6/6/2022,183.30
6/3/2022,207.88
6/2/2022,223.74
6/1/2022,247.95
5/31/2022,220.56
5/30/2022,215.60
5/27/2022,225.78
5/26/2022,239.21
5/25/2022,293.39
5/24/2022,233.29
5/23/2022,220.51
5/20/2022,217.79
5/19/2022,228.47
5/18/2022,230.83
5/17/2022,234.10
5/16/2022,283.47
5/13/2022,284.13
5/12/2022,296.44
5/11/2022,270.26
5/6/2022,277.97
5/5/2022,246.33
5/4/2022,197.30
4/29/2022,258.12
4/28/2022,288.18
4/27/2022,292.26
4/26/2022,284.90
4/25/2022,327.42
4/22/2022,390.38
4/21/2022,396.60
4/20/2022,432.12
4/19/2022,427.73
4/18/2022,368.81
4/15/2022,361.27
4/14/2022,421.49
4/13/2022,393.23
4/12/2022,360.77
4/11/2022,389.16
4/8/2022,396.31
4/7/2022,462.77
4/6/2022,370.25
4/5/2022,363.77
4/4/2022,350.39
4/1/2022,333.64
3/31/2022,439.07
3/30/2022,447.12
3/29/2022,388.07
3/28/2022,357.82
3/25/2022,-64.30
3/24/2022,-86.35
3/23/2022,-84.72
3/22/2022,-61.57
3/21/2022,-117.78
3/18/2022,169.64
3/17/2022,167.28
3/16/2022,164.94
3/15/2022,162.64
3/14/2022,149.51
3/11/2022,135.84
3/10/2022,131.61
3/9/2022,127.85
3/4/2022,109.76
3/3/2022,106.46
3/2/2022,103.29
3/1/2022,100.20
2/28/2022,97.36
2/25/2022,88.71
2/24/2022,250.36
2/23/2022,63.18
2/22/2022,61.57
2/21/2022,89.15
2/18/2022,46.35
2/17/2022,37.06
2/16/2022,31.10
2/15/2022,32.62
2/14/2022,28.95
2/11/2022,18.42
2/10/2022,45.29
2/9/2022,50.63
2/8/2022,43.76
2/7/2022,46.94
2/4/2022,41.39
2/3/2022,49.17
2/2/2022,50.51
2/1/2022,41.28
1/31/2022,55.99
1/28/2022,50.62
1/27/2022,67.08
1/26/2022,55.92
1/25/2022,44.51
1/24/2022,50.03
1/21/2022,31.87
1/20/2022,52.04
1/19/2022,57.37
1/18/2022,35.97
1/17/2022,14.93
1/14/2022,31.47
1/13/2022,27.19
1/12/2022,24.32
1/11/2022,22.77
1/10/2022,28.76
1/6/2022,24.41
1/5/2022,38.59
1/4/2022,50.03
1/3/2022,57.85
12/30/2021,62.27
12/29/2021,56.77
12/28/2021,75.33
12/27/2021,84.91
12/24/2021,99.95
12/23/2021,101.53
12/22/2021,105.04
12/21/2021,100.27
12/20/2021,97.93
12/17/2021,106.99
12/16/2021,107.07
12/15/2021,111.90
12/14/2021,110.23
12/13/2021,110.71
12/10/2021,94.69
12/9/2021,98.52
12/8/2021,86.78
12/7/2021,71.18
12/6/2021,80.04
12/3/2021,76.44
12/2/2021,75.07
12/1/2021,89.99
11/30/2021,89.23
11/29/2021,86.35
11/26/2021,76.67
11/25/2021,69.08
11/24/2021,54.21
11/23/2021,50.53
11/22/2021,60.53
11/19/2021,63.34
11/18/2021,58.84
11/17/2021,70.72
11/16/2021,68.04
11/15/2021,72.86
11/12/2021,69.01
11/11/2021,76.49
11/10/2021,68.45
11/9/2021,63.84
11/8/2021,57.85
11/5/2021,35.49
11/3/2021,48.26
11/2/2021,58.66
11/1/2021,58.81
10/29/2021,64.20
10/28/2021,59.19
10/27/2021,67.65
10/26/2021,56.93
10/25/2021,69.01
10/22/2021,71.71
10/21/2021,77.65
10/20/2021,80.08
10/19/2021,81.43
10/18/2021,79.87
10/15/2021,84.15
10/14/2021,81.73
10/13/2021,79.85
10/12/2021,77.20
10/11/2021,74.93
10/8/2021,75.21
10/7/2021,75.25
10/6/2021,69.72
10/5/2021,66.17
10/4/2021,72.93
10/1/2021,71.54
9/30/2021,72.86
9/29/2021,72.49
9/28/2021,80.56
9/27/2021,84.61
9/24/2021,74.45
9/23/2021,77.22
9/22/2021,85.78
9/21/2021,77.65
9/20/2021,74.61
9/17/2021,74.81
9/16/2021,72.03
9/15/2021,70.65
9/14/2021,70.96
9/13/2021,72.53
9/10/2021,70.83
9/9/2021,66.27
9/8/2021,64.04
9/7/2021,63.47
9/6/2021,68.16
9/3/2021,69.88
9/2/2021,65.83
9/1/2021,69.25
8/31/2021,74.75
8/30/2021,75.99
8/27/2021,81.78
8/26/2021,74.47
8/25/2021,76.81
8/24/2021,74.63
8/23/2021,78.51
8/20/2021,69.10
8/19/2021,77.78
8/18/2021,71.95
8/17/2021,71.42
8/16/2021,67.59
8/13/2021,69.42
8/12/2021,68.28
8/11/2021,67.39
8/10/2021,69.06
8/9/2021,71.73
8/6/2021,70.43
8/5/2021,77.73
8/4/2021,67.38
8/3/2021,68.01
8/2/2021,61.90
7/30/2021,66.57
7/29/2021,66.80
7/28/2021,75.20
7/27/2021,74.39
7/26/2021,74.14
7/23/2021,72.40
7/22/2021,81.39
7/21/2021,83.34
7/20/2021,77.14
7/19/2021,79.16
7/16/2021,73.71
7/15/2021,66.91
7/14/2021,65.00
7/13/2021,66.45
7/12/2021,65.17
