,year,1_quarter,2_quarter,3_quarter,4_quarter
1999,4823,901,1102,1373,1447
2000,7306,1527,1697,2038,2044
2001,8944,1901,2105,2488,2450
2002,10831,2262,2529,3013,3027
2003,13208,2851,3102,3600,3655
2004,17027,3516,3972,4594,4945
2005,21610,4459,5078,5845,6228
2006,26917,5793,6368,7276,7480
2007,33248,6780,7768,8903,9797
2008,41277,8878,10238,11542,10619
2009,38807,8335,9245,10411,10816
2010,46308,9996,10977,12086,13249
2011,60114,13025,14435,15746,16909
2012,68103,15183,16436,17716,18769
2013,72986,16370,17508,19003,20104
2014,79030,17311,19044,20544,22130
2015,83087,18468,19751,21789,23080
2016,85616,18885,20452,22235,24044
2017,91843,20586,21918,23718,25621
2018,103862,22474,24970,27197,29221
2019,109608,24609,26629,28346,30025
2020,107390,24852,23682,27769,31088
2021,131015,27091,30915,34225,38783
